,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
923,KT Rolster Challengers,LCKC,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0
958,T1 Challengers,LCKC,1,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,1.0,1,0,0,1,0,0,0,1
959,Liiv SANDBOX Youth,LCKC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
982,Liiv SANDBOX Youth,LCKC,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0
983,T1 Challengers,LCKC,1,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
994,Alior Bank Team,UL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,1
995,Team ESCA Gaming,UL,1,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1,0,1,0,0,0,0,0
1006,UCAM Tokiers,LVP SL,1,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,1.0,1,0,0,0,1,0,0,1
1007,Guasones,LVP SL,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
1018,Project Conquerors,LFL2,1,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,1,0,0,0,1,0,0,0
1019,Akroma,LFL2,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0
1030,Iron Wolves,UL,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0
1031,Komil & Friends,UL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1
1042,beGenius ESC,LFL2,0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0
